device_id,age_years,days_since_maint,issues_3m,issues_6m,avg_fix_hours,status,label,risk_score
58,6.4,401,3,7,2.6,0,0,50.0
59,9.8,710,3,8,21.0,2,1,113.9
60,7.7,686,1,12,43.3,0,1,78.4
61,4.3,720,4,12,6.5,0,1,83.1
62,8.3,185,4,10,26.5,0,0,46.8
63,5.4,600,5,12,21.5,0,1,72.4
64,9.6,760,2,12,4.5,0,1,80.1
65,4.4,776,3,13,15.2,1,1,72.1
66,1.0,493,1,8,20.2,0,0,32.5
67,8.5,513,6,9,7.5,0,1,82.9
68,10.4,116,6,9,8.9,2,1,80.9
69,1.1,262,1,8,6.8,0,0,28.6
70,6.9,331,7,15,20.8,2,1,93.9
71,2.3,493,7,11,36.2,1,1,71.8
72,9.4,503,3,7,21.4,1,1,66.3
73,4.4,560,1,3,7.7,0,0,33.9
74,3.0,431,6,11,26.3,0,0,53.0
75,5.3,795,0,12,23.2,2,1,85.9
76,5.0,436,8,11,23.7,0,1,71.1
77,5.0,691,6,8,40.4,2,1,118.1
78,6.6,410,0,2,31.0,0,0,40.8
79,1.1,395,5,8,22.1,0,0,60.8
80,3.7,438,4,5,22.8,1,0,47.4
81,11.4,236,1,13,46.0,0,0,45.7
82,3.3,27,2,5,6.5,0,0,22.2
83,3.0,723,4,9,8.5,0,1,72.3
84,1.8,174,4,5,28.0,2,0,62.2
85,10.9,391,6,9,4.1,0,1,73.0
86,1.7,798,4,14,29.0,0,1,89.6
87,9.5,362,8,14,31.9,0,1,85.9
88,0.6,437,7,8,21.1,0,1,68.0
89,5.8,163,6,8,35.4,2,1,70.9
90,9.8,558,7,14,21.2,1,1,89.8
91,10.3,95,4,11,12.1,0,0,54.1
92,4.9,36,7,12,9.1,0,0,55.4
93,4.4,617,4,12,1.0,2,1,76.4
94,8.8,507,8,11,33.3,0,1,84.3
95,9.6,102,4,7,19.7,0,0,52.2
96,4.7,573,8,13,20.7,1,1,84.1
97,8.6,284,4,8,11.5,1,0,58.2
98,9.0,787,2,5,10.8,0,1,77.2
99,11.7,544,4,5,40.0,0,1,71.4
100,4.0,732,8,10,13.5,2,1,107.9
101,8.5,136,7,8,42.0,0,0,60.3
102,5.6,195,0,8,45.2,0,0,47.7
103,5.1,82,0,4,7.6,0,0,13.9
104,11.9,128,8,14,29.3,1,1,75.8
105,6.5,468,7,11,41.4,2,1,95.8
106,7.6,631,1,13,10.4,0,1,69.6
107,2.3,184,8,9,7.9,0,0,54.1
108,5.9,40,3,7,34.1,1,0,45.2
109,8.4,277,3,9,6.0,0,0,39.3
110,3.6,152,1,1,8.4,0,0,27.9
111,7.0,302,7,8,22.8,0,0,59.7
112,3.6,559,7,14,4.3,0,1,69.0
113,4.2,263,0,2,11.4,0,0,36.6
114,7.3,28,4,13,2.4,1,0,50.6
115,8.0,291,2,11,21.2,1,1,75.9
116,5.9,425,5,10,32.3,2,1,84.4
117,8.5,302,6,14,2.2,0,0,57.1
118,1.8,798,6,14,39.7,0,1,94.5
119,5.8,62,3,11,17.7,1,0,52.0
120,9.2,215,4,12,6.7,0,1,65.9
121,6.1,36,3,14,8.0,0,0,40.2
122,1.6,123,7,8,31.3,0,0,57.6
123,3.9,729,4,10,40.1,2,1,91.6
124,6.8,399,3,12,24.6,2,1,95.4
125,3.7,431,5,13,13.2,0,1,66.4
126,10.1,600,7,9,21.7,0,1,79.5
127,9.3,393,7,12,41.8,2,1,96.8
128,4.9,427,0,10,35.9,1,1,67.7
129,4.9,686,2,9,46.3,0,1,82.3
130,4.3,109,7,8,25.5,0,0,54.8
131,5.2,677,2,3,22.8,2,1,78.0
132,8.5,672,1,14,16.1,0,1,71.8
133,11.5,648,7,15,2.2,0,1,95.8
134,11.1,239,1,7,47.0,1,1,69.7
135,1.7,177,4,4,2.7,1,0,32.6
136,4.8,156,3,11,20.1,0,0,31.8
137,2.5,631,6,15,32.9,0,1,78.6
138,3.2,660,4,11,12.6,0,1,74.1
139,10.9,700,8,10,4.0,2,1,131.2
140,3.9,441,4,11,40.7,0,0,57.5
141,6.1,249,6,15,17.6,0,1,67.1
142,0.8,681,6,10,0.9,2,1,97.2
143,11.7,627,7,11,37.3,0,1,103.3
144,3.0,201,4,14,36.4,1,0,64.8
145,2.1,106,0,9,38.0,0,0,22.0
146,2.0,309,5,11,8.8,0,0,48.4
147,11.7,550,8,12,39.9,0,1,104.6
148,6.0,309,5,6,22.7,0,0,60.6
149,3.1,699,6,14,17.9,1,1,72.1
150,6.7,472,5,15,36.1,0,1,70.7
151,7.8,387,1,11,11.6,0,0,62.8
152,7.0,631,3,13,3.5,1,1,90.5
153,4.0,425,1,3,2.7,0,0,50.7
154,1.8,247,8,10,19.0,0,1,67.2
155,8.5,560,6,15,35.8,0,1,82.6
156,1.6,508,6,10,2.1,0,0,55.3
157,11.4,378,1,11,17.9,2,1,88.6
158,1.2,289,3,4,45.6,1,0,36.7
159,2.9,661,0,1,37.9,0,0,36.2
160,7.0,77,8,11,28.4,1,0,60.5
161,9.4,617,0,8,41.3,0,0,54.8
162,3.4,185,1,11,41.7,0,0,34.1
163,9.6,609,5,5,8.8,0,1,78.7
164,6.5,770,1,8,21.8,0,1,69.7
165,5.7,233,0,9,22.3,2,0,48.3
166,6.0,418,6,7,23.8,2,1,74.9
167,1.4,629,2,3,6.5,0,0,47.1
168,8.7,397,8,12,22.1,0,1,65.6
169,8.6,677,8,11,20.9,2,1,112.6
170,10.0,415,6,7,15.3,0,0,61.5
171,11.5,710,7,8,4.8,0,1,86.4
172,9.1,388,2,10,3.3,2,1,81.1
173,8.2,427,5,15,45.2,0,1,89.3
174,1.1,301,4,9,5.4,0,0,29.0
175,6.0,117,5,13,18.0,1,0,61.7
176,9.8,581,8,8,29.4,0,1,92.3
177,0.8,286,4,9,17.2,0,0,29.6
178,8.1,78,2,13,30.6,0,0,52.6
179,3.0,436,7,12,8.0,0,0,57.1
180,11.3,617,1,15,3.0,0,1,75.6
181,8.3,285,7,13,23.6,0,0,62.8
182,9.2,123,5,11,5.8,0,0,54.5
183,6.6,322,0,7,19.3,0,0,25.4
184,4.0,223,2,14,12.6,0,0,26.9
185,9.1,186,2,8,25.8,0,0,48.4
186,8.2,369,1,7,41.4,0,0,38.7
187,11.1,327,6,15,19.7,0,1,69.2
188,5.2,339,2,14,45.5,0,0,62.1
189,4.7,454,1,4,21.2,0,0,30.7
190,10.5,770,5,8,16.3,0,1,86.1
191,1.8,529,3,15,17.1,1,1,77.0
192,9.9,248,1,3,12.7,0,0,30.3
193,9.2,84,2,14,30.3,0,0,50.6
194,7.2,704,5,15,15.5,0,1,81.8
195,7.8,288,0,11,24.6,0,0,44.5
196,1.2,300,1,11,41.6,2,1,68.2
197,6.3,480,8,8,21.9,1,1,87.5
198,4.2,494,8,10,46.0,0,1,85.6
199,10.1,738,1,9,31.2,0,1,81.6
200,11.9,543,8,10,17.8,2,1,110.1
201,9.4,702,0,10,3.6,0,1,70.0
202,3.8,748,2,7,4.4,0,1,71.4
203,4.1,678,6,8,28.8,2,1,93.1
204,4.8,343,2,12,33.9,2,1,91.4
205,11.0,102,6,14,17.7,0,0,53.0
206,3.0,791,7,10,11.3,0,1,66.1
207,10.2,110,8,8,31.9,2,1,92.8
208,7.4,164,2,4,40.0,1,0,60.3
209,2.4,455,0,13,17.8,1,1,68.2
210,7.5,777,7,10,25.9,0,1,99.3
211,5.9,205,5,15,45.5,2,1,85.0
212,3.7,398,8,14,46.4,1,1,93.6
213,2.1,263,0,15,42.0,0,0,28.8
214,10.2,134,4,5,36.7,0,0,63.6
215,2.2,454,1,15,11.0,0,0,42.8
216,0.8,61,6,14,18.3,0,0,27.8
217,3.1,333,1,14,34.4,0,0,36.1
218,0.9,490,2,14,34.0,0,0,38.3
219,1.4,269,3,5,26.6,1,0,46.4
220,1.8,302,3,7,6.3,0,0,40.1
221,7.7,71,1,14,43.5,0,0,30.1
222,6.4,254,2,6,20.9,0,0,33.9
223,5.3,687,1,9,46.8,0,1,67.1
224,6.3,526,8,8,19.0,0,1,78.8
225,11.8,266,0,11,38.0,0,0,62.5
226,7.7,797,5,7,2.6,0,1,87.2
227,2.5,708,7,14,30.5,1,1,78.4
228,9.4,475,0,9,10.1,1,1,75.1
229,4.1,324,8,14,47.5,0,0,64.5
230,9.2,202,4,9,41.5,0,0,62.5
231,3.6,383,6,12,35.8,2,1,85.1
232,11.7,515,7,12,44.4,0,1,100.1
233,8.9,87,6,15,47.8,0,0,58.5
234,1.7,342,4,8,21.7,1,0,44.8
235,5.6,464,0,11,29.7,0,0,55.5
236,9.6,65,1,11,30.8,0,0,51.6
237,8.3,38,2,15,29.4,1,0,41.4
238,1.3,667,5,10,18.7,0,1,67.8
239,8.3,386,5,12,36.7,0,1,71.1
240,5.1,672,4,7,46.1,0,0,62.6
241,6.5,582,1,5,37.3,1,0,59.0
242,7.5,717,7,10,6.3,2,1,106.7
243,10.8,462,1,13,32.9,1,1,71.9
244,4.5,73,8,12,42.8,2,1,88.6
245,11.2,660,2,14,17.7,0,1,93.5
246,9.6,249,7,7,17.6,0,0,62.2
247,11.8,139,1,2,15.2,2,1,70.2
248,6.5,794,6,15,4.0,2,1,115.8
249,5.7,703,8,13,6.6,1,1,96.4
250,7.3,793,2,8,24.4,2,1,108.1
251,6.5,318,2,4,15.8,1,0,47.4
252,11.3,297,1,5,9.8,2,1,65.6
253,7.7,636,8,9,24.4,0,1,98.3
254,2.3,681,5,14,2.5,2,1,80.6
255,11.4,796,4,14,10.5,0,1,94.2
256,0.8,649,8,12,31.0,0,1,68.6
257,9.8,422,4,11,4.0,0,0,62.7
258,6.1,215,5,14,7.3,2,1,73.0
259,11.9,360,6,8,36.6,0,0,63.3
260,3.3,132,4,11,12.3,0,0,32.4
261,4.9,637,6,9,46.2,2,1,112.3
262,11.2,745,5,8,36.7,0,1,90.4
263,6.2,322,7,7,4.8,0,0,56.2
264,3.3,604,5,5,2.9,0,1,68.9
265,8.0,488,4,12,0.9,0,0,53.6
266,3.5,381,6,11,2.6,0,0,57.4
267,4.7,302,1,7,24.5,1,0,42.8
268,11.9,703,1,3,46.8,0,1,83.2
269,4.4,381,2,5,29.1,0,0,30.9
270,0.9,737,5,12,25.2,0,1,82.5
271,2.1,634,5,7,19.2,0,1,72.0
272,7.3,526,8,15,34.2,0,1,96.2
273,4.7,696,1,7,28.2,1,1,76.6
274,8.4,34,7,11,46.4,1,1,78.1
275,7.1,745,0,15,8.6,0,1,71.8
276,10.2,158,3,3,27.7,1,0,46.6
277,5.6,435,2,8,33.3,0,0,61.9
278,11.1,760,0,4,25.1,0,1,84.2
279,6.0,392,5,7,22.3,0,0,59.4
280,8.3,745,4,13,23.5,2,1,101.9
281,3.9,311,4,15,10.3,1,0,56.9
282,4.5,745,4,8,6.3,0,0,63.9
283,11.8,360,2,6,2.5,2,1,66.5
284,11.1,678,4,15,23.3,0,1,88.9
285,11.2,719,4,6,5.7,1,1,79.7
286,1.1,550,3,13,11.6,0,0,48.9
287,5.9,704,2,2,46.3,2,1,79.0
288,8.0,494,7,10,36.4,0,1,72.5
289,1.2,794,1,11,27.8,0,1,68.4
290,11.3,186,6,8,44.9,0,1,77.0
291,9.6,197,4,4,0.9,0,0,33.4
292,11.8,298,7,15,25.4,2,1,93.6
293,6.3,286,3,15,5.9,0,0,50.8
294,3.5,197,0,10,38.1,0,0,42.2
295,2.5,661,6,12,25.0,0,1,78.1
296,2.6,150,7,12,45.0,0,0,51.2
297,5.6,280,5,9,28.2,0,0,47.7
298,4.6,248,0,3,22.6,0,0,34.7
299,11.1,727,4,15,6.1,2,1,105.6
300,7.6,231,2,9,7.8,1,0,56.5
301,5.3,569,7,15,38.6,1,1,100.6
302,8.3,617,1,9,21.7,1,0,61.1
303,7.0,70,8,11,27.7,0,0,52.9
304,6.5,126,3,14,28.2,0,0,48.3
305,9.8,471,2,10,20.2,0,0,65.0
306,8.2,322,0,12,12.6,0,0,38.6
307,1.3,440,5,6,26.2,0,0,62.7
308,11.8,490,0,9,19.9,1,1,79.1
309,11.8,668,6,11,47.7,0,1,106.6
310,10.9,391,1,11,46.3,2,1,78.6
311,10.4,128,2,10,19.2,0,0,61.4
312,10.1,781,0,9,22.5,1,1,80.5
313,4.9,242,3,10,16.9,0,0,57.4
314,8.8,122,0,13,29.7,2,1,79.3
315,3.3,75,1,10,2.1,0,0,29.9
316,1.1,765,0,12,21.4,0,0,64.4
317,9.4,150,8,12,11.6,2,1,91.9
318,7.1,798,5,8,14.8,0,1,84.9
319,3.0,314,4,4,26.9,0,0,50.1
320,2.5,702,6,14,24.0,2,1,115.1
321,8.2,544,5,11,19.9,0,0,64.1
322,6.7,253,3,7,41.2,0,0,49.2
323,1.2,429,6,14,25.7,0,0,53.6
324,4.3,87,7,12,4.9,1,0,47.6
325,3.6,696,0,2,9.4,1,0,62.6
326,6.9,497,3,8,14.9,2,1,75.0
327,2.7,766,1,12,48.0,0,0,60.6
328,7.5,216,6,9,26.7,1,0,64.6
329,6.6,374,4,8,17.6,2,1,79.4
330,9.7,746,7,12,43.9,0,1,95.9
331,7.0,233,2,2,12.9,2,0,63.6
332,5.3,163,3,8,11.4,0,0,30.4
333,6.8,708,5,9,36.8,0,1,87.1
334,9.0,478,2,13,38.3,0,1,75.2
335,6.1,562,0,1,40.4,0,0,58.9
336,1.1,13,6,8,40.5,0,0,43.2
337,0.6,524,7,12,3.4,0,1,74.1
338,11.0,682,7,7,0.8,0,1,69.6
339,6.6,288,8,12,1.3,1,1,79.1
340,9.8,190,1,15,5.1,0,0,38.9
341,6.6,369,4,10,4.3,2,1,78.3
342,3.3,720,3,7,33.0,1,1,79.8
343,10.4,784,0,2,19.8,0,1,65.2
344,7.8,726,2,3,24.2,0,1,74.3
345,7.0,104,8,8,11.4,2,1,84.2
346,7.0,284,0,2,33.0,0,0,38.1
347,8.1,190,5,5,46.2,0,0,62.5
348,8.7,414,1,5,8.2,0,0,57.8
349,5.0,560,5,11,36.4,0,1,85.9
350,8.8,519,5,5,5.1,0,0,51.9
351,7.5,635,6,11,1.9,0,1,90.9
352,6.1,371,8,14,21.0,0,1,77.8
353,1.5,640,4,7,34.4,0,0,50.5
354,8.7,656,2,13,19.0,0,0,60.7
355,11.3,462,5,9,5.4,0,1,68.7
356,6.9,531,6,7,1.7,0,0,53.5
357,7.4,339,6,6,14.4,0,0,46.2
358,10.9,255,8,10,33.1,0,1,68.2
359,3.6,156,1,3,21.1,0,0,24.7
360,1.4,264,3,14,30.2,0,0,35.9
361,1.7,318,0,12,16.3,0,0,43.7
362,4.3,349,6,15,7.0,0,1,73.9
363,2.8,328,2,8,46.5,0,0,51.1
364,6.1,596,3,8,18.4,1,1,69.5
365,1.8,584,3,12,47.9,0,1,71.4
366,0.8,751,7,10,21.3,0,1,80.2
367,9.9,425,7,9,30.6,0,1,81.9
368,8.7,393,1,8,47.6,0,0,54.6
369,6.3,715,6,14,2.2,2,1,111.8
370,9.8,615,1,2,37.0,0,0,58.4
371,7.9,52,6,11,46.4,0,0,42.0
372,3.5,529,8,11,21.7,0,1,81.0
373,7.3,519,2,7,47.9,0,0,57.0
374,11.1,94,1,14,45.2,0,0,47.3
375,5.7,218,8,15,17.0,0,1,71.4
376,5.7,75,4,4,39.0,0,0,49.4
377,8.0,700,2,13,12.1,0,0,62.2
378,6.9,480,3,15,19.7,0,1,70.0
379,5.5,36,3,10,28.6,0,0,43.7
380,2.9,777,1,10,5.3,2,1,74.3
381,4.2,475,1,5,32.4,0,0,60.6
382,4.1,404,6,15,5.9,0,0,61.3
383,2.5,696,4,13,28.5,0,0,64.9
384,3.2,126,2,7,33.4,0,0,29.9
385,2.1,399,6,8,23.6,0,1,67.4
386,11.2,184,8,10,23.8,0,0,64.8
387,5.7,61,5,5,23.5,0,0,35.7
388,7.0,675,7,13,33.0,0,1,98.5
389,6.1,91,0,7,14.4,0,0,27.8
390,2.4,475,7,15,24.8,0,0,62.5
391,6.7,382,8,8,36.6,0,0,63.4
392,5.4,760,3,7,42.1,0,1,66.1
393,10.4,96,7,8,37.3,0,1,71.4
394,7.3,366,6,8,29.8,1,1,84.3
395,9.8,590,5,13,13.9,0,1,74.6
396,8.6,303,4,12,47.3,0,0,53.7
397,11.6,428,0,8,41.7,0,1,71.9
398,3.4,735,5,8,36.7,0,1,73.6
399,7.1,282,6,12,22.0,0,1,74.1
400,1.6,534,4,15,45.0,0,1,79.4
401,4.3,9,1,12,46.7,0,0,39.3
402,10.3,554,6,9,46.5,1,1,94.4
403,4.2,297,5,13,28.0,0,0,56.4
404,4.5,705,0,1,5.2,1,0,55.1
405,1.9,168,7,14,0.5,2,0,63.4
406,8.4,142,4,6,42.0,2,0,63.1
407,4.6,91,5,15,43.4,0,0,49.3
408,4.0,723,3,9,31.6,1,0,63.5
409,6.0,142,3,11,32.8,0,0,51.5
410,9.9,439,2,9,3.9,0,0,64.5
411,1.7,327,5,9,7.0,1,0,62.7
412,2.0,700,2,3,25.7,0,0,57.6
413,5.6,746,3,13,36.0,2,1,106.2
414,5.6,229,1,15,5.3,1,0,54.4
415,4.9,446,5,7,12.3,0,0,49.0
416,7.4,745,4,15,1.8,1,1,100.7
417,2.9,628,8,11,36.0,0,1,66.0
418,10.8,252,7,13,5.9,0,1,72.2
419,6.6,19,5,10,6.8,2,1,67.6
420,4.7,706,2,14,22.9,2,1,81.5
421,7.3,21,4,7,2.4,0,0,43.8
422,6.3,650,8,14,20.6,0,1,91.4
423,6.7,163,4,5,15.2,0,0,32.7
424,9.8,556,5,11,28.4,1,1,93.6
425,7.9,324,6,9,3.3,0,0,57.7
426,5.7,630,0,9,32.1,0,0,48.6
427,0.6,147,0,5,24.1,0,0,18.9
428,10.0,272,2,7,6.5,1,0,51.0
429,10.7,796,0,10,38.8,0,1,65.9
430,8.7,597,1,8,22.1,0,0,62.7
431,7.0,383,2,6,37.2,2,1,82.8
432,1.8,765,8,8,2.6,2,1,91.7
433,5.9,399,2,4,44.7,2,1,77.3
434,11.0,765,6,9,15.8,0,1,97.0
435,3.6,86,5,6,24.3,2,0,52.7
436,9.7,54,6,7,42.2,2,1,88.7
437,4.1,95,8,15,0.9,0,0,54.0
438,4.0,644,3,10,18.0,2,1,102.7
439,9.4,757,8,11,7.7,2,1,103.9
440,6.7,658,0,10,0.6,0,1,66.9
441,8.9,113,3,11,47.2,0,1,66.7
442,11.7,152,4,5,2.6,0,0,58.9
443,5.3,388,7,8,28.1,0,1,68.7
444,5.0,613,0,13,32.0,0,0,53.8
445,10.3,409,5,10,22.0,0,1,83.8
446,2.1,795,1,3,5.5,0,0,45.5
447,1.9,373,3,10,15.1,0,0,33.1
448,2.3,709,4,15,33.6,0,1,83.8
449,4.3,100,3,8,19.3,0,0,28.4
450,9.9,185,0,12,41.1,0,0,50.8
451,1.6,111,2,3,1.1,1,0,42.4
452,2.0,417,5,15,30.4,0,0,63.4
453,3.5,83,0,2,9.9,0,0,24.4
454,1.6,346,1,1,45.3,0,0,46.3
455,5.5,748,6,13,1.9,0,1,70.0
456,3.0,198,4,8,21.7,0,0,43.7
457,7.6,669,4,11,20.1,0,0,62.5
458,3.7,147,6,9,31.0,1,0,50.4
459,11.9,563,0,12,37.6,0,1,72.8
460,6.1,586,8,13,18.9,0,1,76.8
461,3.0,294,0,15,25.6,1,1,65.8
462,11.7,109,3,13,12.0,0,0,62.0
463,9.0,789,3,12,40.7,1,1,92.2
464,10.2,184,2,5,28.6,1,0,62.2
465,11.0,35,5,14,27.3,0,0,48.9
466,11.9,511,8,12,8.8,0,1,73.8
467,7.4,27,8,15,0.5,2,1,71.3
468,2.0,741,2,14,40.6,0,0,54.8
469,7.2,152,1,14,25.5,0,0,31.3
470,8.6,685,6,15,5.3,0,1,74.6
471,2.3,454,7,12,8.8,2,1,92.9
472,11.2,372,3,13,28.5,0,0,62.9
473,8.4,137,2,13,0.6,1,0,55.0
474,10.3,796,0,5,29.1,2,1,110.2
475,3.0,586,1,15,24.1,0,0,45.5
476,4.5,334,2,12,42.6,0,0,58.5
477,7.8,350,7,7,13.1,0,0,50.8
478,3.5,117,0,1,18.8,1,0,41.7
479,10.7,511,6,11,26.4,0,1,80.6
480,10.4,673,3,5,21.9,1,1,68.8
481,0.7,274,1,2,16.7,2,0,38.3
482,1.4,102,5,14,47.3,2,1,77.5
483,5.5,676,2,11,42.8,0,0,58.4
484,2.9,201,6,14,34.8,1,0,57.8
485,3.7,250,1,1,19.2,0,0,27.5
486,1.1,10,6,7,14.5,0,0,33.6
487,2.8,33,3,5,30.8,2,0,51.6
488,1.8,414,7,14,43.0,0,1,72.2
489,5.0,386,6,11,9.4,0,0,58.4
490,3.5,282,0,4,36.2,0,0,19.9
491,4.5,561,6,15,11.3,0,1,68.9
492,6.5,555,7,10,23.1,0,1,88.5
493,8.7,521,8,10,6.2,1,1,78.9
494,11.8,223,3,5,2.5,0,0,54.7
495,2.8,649,2,15,28.8,0,1,71.6
496,9.8,96,6,14,19.4,0,0,53.6
497,5.8,19,8,14,5.8,0,0,53.7
498,7.2,109,1,10,37.5,1,0,61.4
499,10.6,427,4,10,31.6,0,1,70.1
500,2.5,419,2,11,29.4,0,0,35.0
501,10.7,346,3,3,35.9,2,1,94.8
502,0.7,317,4,8,40.5,2,1,75.9
503,11.7,240,2,6,46.8,0,1,66.5
504,3.6,433,1,4,21.5,2,0,62.4
505,6.1,535,5,5,25.0,0,0,58.3
506,6.3,145,8,8,8.8,2,1,69.6
507,1.2,40,7,7,44.1,1,0,44.4
508,10.0,524,6,7,32.9,0,1,77.4
509,5.6,492,8,13,16.9,1,1,78.9
510,10.1,99,4,4,18.9,0,0,47.1
511,11.6,233,3,13,10.3,0,0,59.3
512,10.4,792,0,15,43.8,0,1,87.2
513,0.6,265,4,15,46.4,0,0,48.4
514,4.8,364,7,11,10.9,0,0,62.6
515,7.7,605,1,1,24.8,0,0,64.9
516,4.8,669,4,8,33.0,0,0,64.7
517,3.7,339,4,8,31.7,2,1,80.2
518,2.7,536,3,3,38.8,1,0,65.0
519,8.1,704,2,13,1.7,0,0,64.6
520,10.9,421,6,6,28.2,2,1,107.0
521,4.4,737,3,13,25.9,1,1,95.0
522,8.2,526,4,6,40.4,2,1,84.2
523,1.6,138,4,15,38.9,1,0,45.4
524,8.3,350,1,4,17.4,1,0,48.8
525,9.6,346,5,9,28.3,0,0,54.7
526,1.1,656,1,8,42.7,0,1,65.6
527,4.9,312,6,6,41.9,0,1,72.6
528,4.4,590,7,9,15.5,1,1,89.8
529,6.1,653,2,7,30.6,0,0,57.2
530,9.3,179,2,9,37.8,1,0,49.0
531,5.5,446,6,12,46.4,0,0,58.7
532,2.8,389,0,10,36.5,0,0,27.9
533,0.5,758,3,6,33.4,0,0,49.4
534,4.9,609,4,6,3.6,0,1,72.4
535,5.7,539,8,13,21.1,0,1,68.6
536,12.0,508,5,8,8.3,2,1,108.4
537,0.7,236,2,5,35.4,0,0,21.3
538,4.7,673,0,12,42.1,0,0,64.5
539,1.1,56,1,11,40.2,0,0,15.5
540,5.6,133,8,12,23.0,0,0,64.3
541,7.7,315,6,7,32.0,0,1,65.7
542,2.1,114,8,9,13.9,1,0,55.6
543,7.5,276,8,11,17.5,0,0,57.1
544,6.8,219,7,12,11.6,0,0,47.5
545,1.8,594,7,9,45.6,1,1,69.7
546,8.8,269,3,10,47.5,0,0,58.5
547,1.6,185,0,9,17.6,0,0,22.7
548,1.8,783,0,0,41.0,0,0,41.1
549,4.6,455,4,15,4.9,1,0,60.4
550,5.1,474,4,10,33.3,0,0,60.2
551,10.7,177,1,3,33.6,0,0,56.2
552,2.3,433,7,14,9.1,0,0,58.8
553,0.8,707,2,9,44.2,0,0,58.1
554,1.0,274,5,5,34.0,0,0,50.5
555,7.1,585,3,13,42.0,0,1,79.5
556,7.6,450,3,10,16.9,0,0,56.6
557,10.1,578,0,0,31.1,0,1,65.8
558,10.3,176,1,13,23.9,0,0,64.3
559,1.1,235,8,14,19.7,0,0,54.7
560,9.7,465,1,14,24.2,0,1,78.9
561,9.1,25,1,7,20.1,0,0,18.5
562,1.5,625,4,12,27.2,0,0,62.4
563,4.4,62,3,10,16.3,1,0,47.2
564,8.7,379,7,8,5.1,0,0,51.4
565,4.6,655,4,12,25.3,1,1,67.4
566,2.4,150,6,7,12.6,0,0,28.4
567,10.3,227,7,10,34.5,0,1,67.3
568,11.2,695,1,13,42.9,0,1,84.4
569,6.3,517,0,1,26.8,0,0,47.4
570,11.1,188,2,13,39.2,0,0,63.2
571,7.5,336,8,14,20.4,0,1,79.7
572,3.4,414,5,9,22.0,0,0,53.3
573,8.6,773,8,12,40.5,0,1,94.4
574,9.0,573,3,6,10.5,1,1,79.3
575,11.1,142,2,10,26.3,0,0,56.9
576,9.2,582,7,13,32.5,2,1,114.0
577,10.6,439,0,3,1.7,0,0,51.6
578,2.8,775,2,6,33.0,0,0,49.8
579,9.5,215,8,8,17.5,0,1,68.7
